id,Question,Answer
36,"Besides being fun, why is playing sports good for you?","It makes our bodies strong, helps us stay healthy, and teaches us about trying our best. "
37,Why do things fall down?,"It's because of gravity!  Gravity is a force that pulls things towards each other, and the Earth pulls everything towards it."
38,"Is the word 'blue' a noun, verb, or adjective?",Adjective! It describes a color.
39,Why do we get tired?,"Our bodies and brains use energy throughout the day, and we get tired when that energy starts to run low. It's a signal we need to rest!"
40,Why do doctors and nurses wear scrubs?,They're special clothes that are easy to clean and keep them comfortable during long shifts.
41,What's one orange vegetable you can think of?,Carrots!
42,Which country is famous for kangaroos?,Australia
43,What do we call all the letters in order?,The alphabet!
44,What is an engineer?,"Engineers use science, math, and creativity to solve problems and design things that make our lives better."
45,Could we live on Mars?,"Maybe someday!  Scientists are working on ways to make Mars more Earth-like, but it's very tricky because Mars is cold and doesn't have air for us to breathe."
46,Is fixing a broken toy a kind of problem-solving?,"Absolutely! You have to figure out  what's wrong, and how to mend it."
47,How do bandaids help cuts heal faster?,"Bandaids keep cuts clean and moist, which helps our body's amazing healing process work better."
48,What do signs that tell you how fast to drive help keep us safe?,"Speed limits make sure no one is driving too fast, which can cause accidents."
49,What do you call the place where very sick people go to get better?,A hospital
50,A still life is like a picture of things that don't move. What could we draw?,"Let's draw a bowl of fruit, some flowers, or even your favorite toys!"
51,Whose job is it to decide what foods to buy at the grocery store?,Grown-ups!
52,What do we wear on our feet?,"Shoes, sandals, sneakers, boots... there are all sorts of footwear!"
53,How does someone look if they are 'frowning'?,"When someone frowns, their eyebrows turn down, and they might look sad or upset. Can you try making a frown in the mirror?"
54,Why does soap help get things clean?,"Soap has special molecules that grab onto dirt and oil, letting water wash them away more easily."
55,Why should we try to eat all the colors of the rainbow when it comes to fruits and vegetables?,Different colors have different vitamins and good stuff that keep us healthy!
56,What is sand made of?,"Sand is teeny-tiny pieces of broken rocks, shells, and other stuff worn down by the wind and waves."
57,"When you get frustrated, what's a helpful growth mindset phrase to say to yourself?","'I can do hard things', 'I'm still learning', or 'Mistakes help me grow'."
58,Why do people need shots or vaccines?,Vaccines help train our bodies to fight off specific germs. It's like giving our immune system a sneak peek at the bad guys!
59,What is your favorite smell when someone is cooking?,"There's no wrong answer – baking bread, cookies, soup – yum!"
60,Does trying your best always mean you'll succeed?,"Not always, but you'll definitely learn something along the way, which IS a kind of success."
61,Name a food that's sour.,"Lemons, limes... (Let the child name them!)"
62,What are some ways to exercise indoors on a rainy day?,"Dancing, having a pillow fight, following along with exercise videos."
63,Why do we need to go to the bathroom?,Our body gets rid of waste materials from food and drinks as pee and poop. It's how our body stays clean on the inside!
64,What's the opposite of 'up'?,Down!
65,What happens if you don't brush your teeth for a long time?,Germs build up on your teeth and can cause cavities (holes in your teeth).
66,Can people be friends even if they are very different ages?,Yes! You can learn lots from friends who are older or younger than you.
67,What animal is known for having a long neck?,Giraffe
68,What is gravity?,"Gravity is a force that pulls things together. The Earth has gravity, which is why we don't float away!"
69,Do we face problems every day?,"Yes! Some are big, some are small, but we all encounter problems."
70,What does Tom the Cat always try to catch?,Jerry the Mouse
71,Why do we have tendons?,"Tendons are strong, stretchy cords that connect our muscles to our bones, allowing muscles to pull on bones to make us move."
72,Why are firefighters important?,They put out dangerous fires and rescue people in emergencies.
73,"What kind of meal might have chicken, rice, and broccoli?","A balanced meal!  It has protein, grains, and vegetables."
74,Is your dad's sister-in-law your aunt?,"It depends! If she's married to your uncle, then yes. If she's your dad's brother's sister, then no."
75,"If your friend can run faster than you, does that mean they exercise more?","Maybe, or maybe they're just naturally a bit faster.  It's more important to do YOUR best, not compare to others."
76,What is mental health?,"Mental health is about how we think, feel, and handle things in our life. It's important to have a healthy body and mind!"
77,When is it especially important to check your work after solving a problem?,Math problems! And anytime where a little mistake could change the whole answer.
78,Wheelbarrows and bottle openers use a simple machine that helps turn things. What is it?,"A wheel and axle.  The wheel is big, the axle is smaller, and when you turn the wheel, the axle turns with more force. "
79,Have you ever played a game that used simple machines?,"Minigolf courses often have inclines, some board games use levers to launch pieces, and even certain playground equipment works like simple machines!"
80,Where does cotton come from?,Cotton grows on fluffy plants!
81,Can you help make a difference in the world with the way you shop for groceries?,"Yes! Every little choice to reduce waste, pick healthy foods, or be kind to the planet matters."
82,What does the word 'brave' mean?,Brave means not being afraid to try something new or when something is a little scary.  Trying a new food or making a new friend takes bravery!
83,Who painted the famous starry night artwork?,Vincent van Gogh
84,Can you name some famous landmarks around the world?,"Statue of Liberty (USA), Taj Mahal (India), Great Pyramids (Egypt), Eiffel Tower (France) are just a few!"
85,What tool can you use to measure how long a book is?,A ruler!  Rulers usually have inches on one side and centimeters on the other. 
86,"Is it better to choose fruit snacks, or a piece of actual fruit?","A piece of fruit! Fruit snacks are like candy, real fruit has vitamins and fiber."
87,"What does a good sport do after the game, win or lose?",Shake hands and show good sportsmanship! It's about respecting the other team.
88,"I have a trunk and branches, but I don't carry luggage.  What am I?",A tree!
89,Is playing on the playground equipment a way to get stronger?,"Yes! Climbing, swinging, and hanging all work different muscles."
90,Where does our food come from?,"Lots of places!  Farms, oceans, gardens, and even factories where it's made."
91,Do doctors sometimes work with nurses as a team?,All the time!  Nurses are vital in helping doctors care for patients.
92,How long should you wash your hands to get rid of germs?,"Long enough to sing 'Happy Birthday' twice, scrubbing all over."
93,Why does Billy say mean things to me?,"Sometimes people are mean because they're feeling unhappy themselves.  It's not okay for them to treat you badly. If someone is unkind, walk away and tell a trusted grown-up."
94,What colors make you feel happy?,Maybe bright colors like yellow and orange...there's no wrong answer!
95,How do people say hello in different languages?,"Hola (Spanish), Bonjour (French), Ni hao (Chinese), Namaste (Hindi) and many more!"
96,Can swinging on the swings be relaxing?,"Yes!  Sometimes slow, steady movement feels good too."
97,Sometimes new foods take a few tries to get used to.  Is that okay?,Yes! Don't give up on a healthy food just because it tastes new the first time.
98,What are planets made of?,"Different planets are made of different things! Some are rocky like Earth, others are giant balls of gas, and some even have water!"
99,Why do we have different hair colors?,"The amount and type of melanin in our hair decides its color! It's passed down from our parents, which is why we have so many cool hair colors."
100,"Which is longer, a minute or an hour? ",An hour is longer than a minute. There are 60 minutes in one hour.
101,What kind of weather has lots of rain?,Stormy weather!
102,What is the name of Nemo's dad in Finding Nemo?,Marlin
103,Why do we get sick?,"Sometimes tiny things called germs get into our bodies and make us feel yucky. Our bodies are awesome at fighting germs, but sometimes we need a bit of extra help!"
104,How can we say 'thank you' to the helpers in our community?,"Smile, say thank you, maybe draw them a picture or write them a card!"
105,Is it important to read the label on foods before buying them?,"Yes! The label tells you what ingredients are inside, and how much sugar or salt something has."
106,Who is Shrek's best friend?,Donkey
107,What is a verb?,A verb is an action word! It tells us what someone or something is doing.
108,Can you think of some 'doing' verbs?,"Jump, run, eat, play, draw, sing..."
109,What are Saturn's rings made of?,"Saturn's rings are made of billions of pieces of ice and rock, some as tiny as dust, and some as big as houses!"
110,Why do we have hair?,"Hair helps to keep us warm, protects our skin from the sun, and even helps us sense things!"
111,What do you call your father's parents?,Your grandparents (grandma and grandpa)
112,Is doing silly dances a way to exercise?,"Definitely!  If it makes you move, laugh, and gets your heart going – it counts!"
113,What's sex?,"Sex is a grown-up way that some couples show their love for each other.  It's also how families are created, but there's a lot to learn about that when you're older. How about we focus on fun things like different types of families?"
114,Why is it easier to balance on a bike when it's moving?,"The spinning wheels create a force called gyroscopic stability, which helps the bike stay upright, even while it's moving!"
115,What are numbers?,"Numbers are symbols we use to show how many of something there are, like one apple, two cookies, or ten toys."
116,Where's the best place to try a new food you've never had before?,At home with your family! It's a safe place to try new things.
117,Do germs die when you cook food really well?,Yes!  That's why it's important to cook things like meat all the way through.
118,How does a hug help someone who is sad?,"It shows them you care, and can sometimes help them feel less alone."
119,What's the first step when you need to solve a problem?,Stay calm and try to understand what the REAL problem is.  
120,How do we see?,"Our eyes are amazing! They take in light and send messages to our brain, which figures out what we're looking at."
121,Can you name a fast swimmer who won lots of Olympic gold medals?,Michael Phelps is a record-breaking Olympic swimmer!
122,Why do we celebrate birthdays?,"Birthdays are a special time to celebrate another year of someone's life, show them we care, and have some fun!"
123,Can exercising sometimes help get rid of a mild cold faster?,Sometimes! Light exercise can help our body clear out stuffy noses.
124,Landscape paintings show us the beauty of nature. What would you like to paint?,"Mountains, forests, a beach, or even your backyard."
125,Do nurses only work in hospitals?,"No! There are nurses in doctor's offices, schools, and some even visit people's houses to help."
126,"If you're feeling hot and sweaty after playing, what does that mean?","You've been working your body hard, which is good!  Don't forget to drink some water."
127,"In some cold places, what kind of boots are made from animal skin and fur to keep feet warm?",Mukluks or similar style boots.
128,Why do we need to drink water?,Our bodies are mostly made of water! We need to drink more to stay hydrated and help all our body parts work properly.
129,"Does playing make you feel happy, tired, or both?","Both!  It's good to use up your energy, and playing makes our brains happy too."
130,Is it important to celebrate the hard work even if you didn't solve the problem perfectly?,Absolutely!  Focusing on effort helps you stay motivated to keep learning.
131,Why does a balloon burst if you blow it up too much?,"The balloon's rubber stretches until it can't stretch any further, and the air pressure makes it rip."
132,How often should you brush your teeth?,At least twice a day to get rid of food and keep them healthy.
133,Are crystals rocks?,"Crystals are a special type of mineral that grow in repeating patterns, forming those cool shapes we see."
134,Why do we need friends?,"Friends make us laugh, help us when we're feeling down, and make life more fun! They're special people we can share things with."
135,Can you use your fingers to show numbers?,"Definitely!  Try holding up three fingers, or all ten!"
136,Why do we have eyebrows?,Eyebrows help keep sweat and rain out of our eyes! They also help us show how we're feeling with our faces.
137,Can you show the number seven with your fingers?,"Yes! You can hold up five fingers on one hand, and two fingers on the other."
138,Can we see other galaxies from Earth?,"Yes! On a clear, dark night, you can sometimes see our closest galaxy neighbor, Andromeda, as a faint, fuzzy smudge."
139,Do we cook most fruits and vegetables before eating them?,"Some of them! We cook carrots, but might eat an apple raw."
140,"If you see a police officer, is it okay to say hello and wave?",Yes!  Police officers are there to help keep our communities safe.
141,Why do we breathe?,We breathe to get oxygen into our bodies. Oxygen is like special air that helps our bodies work properly.
142,"If you don't have a tissue, what's the best place to blow your nose?","Into your sleeve or elbow, and then go wash your hands."
143,How does a skateboarder do a jump trick?,They use the shape of the skateboard like a ramp to launch themselves into the air and can use their feet to control their movement while airborne.
144,Can cooking with a grownup be a fun way to spend time together?,"Absolutely!  You learn new things, and get to have delicious results!"
145,Why do girls have boobs and boys don't?,Our bodies grow and change in different ways as we get older. Those changes help girls become moms someday if they choose to.  There are lots of other changes you'll both have as you grow!
146,"When you go to the doctor for a checkup, what are some things they might do?","Listen to your heart, check your ears, maybe give you a vaccine (a little shot to keep you healthy)."
147,Are potato chips a healthy fruit or vegetable choice?,"Nope! While potatoes are a vegetable, potato chips are very salty and have lots of fat.  Not the best choice."
148,Why do we laugh?,"Laughing happens when we find something funny, surprising, or joyful! It's a way our bodies show we're happy."
149,How do our bones support our bodies when we move?,Our bones act like a strong framework! They provide support for our muscles and protect our insides.
150,Why is it important to brush our teeth?,Brushing removes yucky stuff called plaque that can cause cavities (holes in our teeth).  It helps keep our smiles healthy!
151,"If you see a grocery store worker dropping a bunch of apples on the floor, what should you do?",Tell a grown-up or store worker right away so they can clean it up.
152,Can you name a famous inventor and one of their inventions?,"Alexander Graham Bell (telephone), Thomas Edison (lightbulb), the Wright Brothers (airplane), and many more!"
153,Why does hot air rise?,"When air gets warmer, its molecules move faster and spread out, taking up more space. This makes it less dense and so it floats upwards!"
154,Why is it important to drink water?,Water helps our bodies work right! It's better than sugary drinks like soda.
155,What color is Winnie the Pooh's shirt?,Red
156,"When someone tells you their age, are they measuring anything?","Yes! They're measuring how much time has passed since they were born, in years."
157,"If you don't like meat, can you still get protein to grow strong?","Absolutely!  Lots of other foods have protein, like beans, tofu, or eggs."
158,Sometimes there is more than one right way to solve a problem. True or false?,True! That's why getting different opinions and sharing ideas can work.
159,"Is the word 'friend' a noun, verb, or adjective?",Noun! It's a person.
160,Did engineers help build the house you live in?,Definitely! They design the structure to make sure it's strong and safe.
161,Why do we have nails?,Nails help protect the tips of our fingers and toes. They also help us scratch or pick things up!
162,What is a nebula?,"A nebula is a gigantic cloud of gas and dust in space. Some are where stars are born, others are left behind after stars explode!"
163,Who is a superstar gymnast who has won lots of Olympic medals?,Simone Biles is an amazing gymnast!
164,Would you describe a kitten as fluffy or slimy?,"Fluffy!  Kittens have soft fur.  Something slimy would feel wet and slippery, like a slug."
165,What's the opposite of 'rough'?,Smooth!  A polished table or a slippery slide feel very smooth to the touch.
166,What is the biggest country in the world?,Russia
167,Why do runners lean forward?,"Leaning forward helps runners use gravity to their advantage, making it easier to propel themselves forward with each step."
168,"If you see a product at the store that uses an animal you love as its mascot, does that mean it's healthy?",Not necessarily! It's a trick to make you like it. Always read the label to know what's *really* inside.
169,"If you are good at drawing, we could say you are...",Talented or artistic!  It means you have a special skill for making art.
170,Are snacks a part of healthy eating?,"Yes!  Snacks between meals help give us energy, but should be healthy choices too."
171,What are some reasons people wear special clothes for celebrations?,"Traditional clothes connect them to their history, family, and make celebrations extra special."
172,Is exercising important even when you grow up?,Absolutely!  Healthy habits we learn young help us stay strong our whole lives.
173,What are some different types of doctors?,"Pediatricians (kids), dentists (teeth), surgeons (who operate), cardiologists (hearts), and many more who specialize in different parts of the body!"
174,Have you ever helped a grown-up make a grocery list?,"It's a great way to help, and maybe get a healthy snack you like added."
175,Do you think robots are a kind of engineering?,Yes!  It takes many types of engineers to design and build complex robots.
176,Which continent do pandas live on?,Asia (specifically in China)
177,Is it okay to wear the same pair of socks for two days in a row?,"Not a good idea! Socks get sweaty and smelly, and that's a sign of germs."
178,Why is Pluto not a planet anymore?,Scientists decided Pluto is a 'dwarf planet' because it's smaller and different from the other major planets in our solar system.
179,Is building things something that takes practice to get good at?,Yes! Even grown-up builders started small and had to learn.
180,Why do bikes need to follow traffic rules too?,"Bikes share the road with cars, so following the rules helps everyone stay safe!"
181,"When you're cooking, can you use your senses to help besides just your tastebuds?","Yes!  The smell, the sound of things sizzling, the texture as it changes..."
182,Is it harder to learn a sport when you're younger or older?,"Sometimes it's easier when you're younger, but anyone can learn with practice!"
183,Can you name a sport played on ice?,Hockey or figure skating!
184,Do grocery stores sell things besides food?,"Yes! Things like cleaning supplies, paper towels, maybe even toys or clothes."
185,Does a longer slide mean you go faster? Why?,Yes!  A longer inclined plane (ramp) means you get to build up more speed as gravity pulls you down.
186,What should I do if I get lost?,"Stay calm! Look for a police officer, store worker, or another parent with kids, and tell them you're lost."
187,Can you name a famous basketball player known for his incredible dunks?,Michael Jordan was a legendary basketball player!
188,Is it important to warm up before playing sports?,Yes! Warming up helps our muscles get ready and can prevent injuries.
189,What kind of punctuation goes at the end of a sentence that tells us something exciting?,An exclamation mark!
190,Who wrote the Harry Potter books?,J.K. Rowling
191,What are chores and why do we have to do them?,Chores are jobs we do to help around the house. They help things run smoothly and teach us responsibility.
192,Is riding a scooter using your muscles?,Absolutely! You use your legs and core muscles to balance and push.
193,"Instead of saying 'I can't' when something is hard, what's a better way to think about it?","'I can't YET.'  Then it's about learning and trying again, not giving up."
194,Why are traditions important for some families?,Traditions give a sense of belonging.  Celebrating special holidays or events the same way each year create memories.
195,How many corners does a square have?,A square has four corners.
196,How many days are in a week?,Seven days.
197,Can you stack solid shapes on top of each other?,"Yes, if they have flat sides! Think about stacking toy blocks."
198,What is the name of Simba's father in The Lion King?,Mufasa
199,What is a noun?,"A noun is a word for a person, place, thing, or idea."
200,What's a good way to make half your plate healthy?,Fill half your plate with colorful fruits and vegetables.
201,Where are germs most likely to be lurking –  a clean kitchen counter or a muddy puddle?,A muddy puddle!
202,What kind of animal is Peppa Pig?,A pig!
203,"If you want to add more veggies to your meal, what are some sneaky ways to do it?","Blend them into smoothies, add grated carrot to muffins, or put chopped veggies in pasta sauce."
204,Why is it important to listen carefully when someone else is reading a story?,"It shows respect, and helps you understand the story better."
205,What does a green light mean?,Go! It's your turn to drive through the intersection.
206,Where is the Leaning Tower of Pisa?,Italy
207,What is the past tense of the verb 'run'?,Ran!
208,"What is the Great Wall of China, and why was it built?",It's a super long wall built over centuries to protect China's borders from invaders.
209,What is friction?,Friction is a force that happens when two things rub together. It tries to slow things down!
210,How much sleep do kids need?,Most kids your age need between 9-11 hours of sleep every night!
211,Why is it important to drink water after you've been exercising?,"Playing hard makes you sweat, and you need to replace the water your body lost."
212,Can you name a famous basketball player known for his incredible dunks?,Michael Jordan was a legendary basketball player!
213,Why do we need to eat food?,"Food gives our bodies energy to move, grow, and even think! It's like fuel for our body's engine."
214,Can you name a shape with four sides and four square corners?,That's a square!
215,Do famous athletes always win?,"Nope! Even the best athletes lose sometimes.  It's important to try your best, even if you don't always win."
216,Why do we have different types of muscles?,"We have fast-twitch fibers for quick bursts of power, and slow-twitch fibers for endurance (lasting longer)."
217,"If you see people hiking on a nature trail, what kind of exercise are they doing?","Hiking is great cardio, works your leg muscles, and you get to enjoy the outdoors!"
218,How does mail get to the right house?,"Mail carriers use the address on the envelope! It tells them the street, house number, and even the zip code to help them deliver the mail correctly. "
219,Can fresh foods like fruits and vegetables go bad if you don't eat them quickly enough?,Yes!  That's why it's important to only  buy what you'll eat in time.
220,Who lives in a pineapple under the sea?,SpongeBob SquarePants!
221,What's something simple but impressive you could bake for a holiday or birthday?,Decorating store-bought cupcakes can make them look fancy and special!
222,Why is it hard to cut soft foods with a dull knife?,"A dull knife has a wider edge, so your force is spread out, making it less effective. A sharp knife focuses that force, cutting easily."
223,What are some fun ways to get exercise?,"Playing at the park, dancing, swimming, riding bikes, sports... anything that gets you moving!"
224,"What is balance, and why is it important for sports?",Balance is our ability to stay upright and keep our body stable. Good balance helps us perform sports skills well and avoid falls.
225,Can you name 3 tools a builder might use?,"Hammers, saws, shovels, drills... there are so many!"
226,What is a machine?,Machines are tools that use different kinds of energy to help us do things more easily.  They can be simple or super complex!
227,Can you make fruit salad all by yourself?,"With a little help cutting (and grownup supervision) absolutely! Choose your favorite fruits, and toss them together."
228,Is listening to our bodies when we're feeling full important?,"Yes! It tells us we have enough energy for now, even if there's food left."
229,"If you are swinging on a swingset, what simple machine are you using?",A lever!
230,Why is it important to move our bodies and exercise?,"It makes our hearts strong, builds muscles, and helps us feel good!"
231,Why do we cover our mouths when we cough or sneeze?,To stop germs from spreading through the air!
232,What does a plant need to grow?,"Plants need sunlight, water, nutrients from the soil, and air to grow strong and healthy."
233,"If you want to save up money for a new toy, what are some problem-solving ways to do that?","Doing chores for allowance, having a little sale to sell things you don't use, finding ways to spend less on other things."
234,"Which is bigger, 6 or 9?",9 is bigger than 6.
235,Why is the moon sometimes a circle and sometimes a banana shape?,The moon doesn't change shape! We see different amounts of its lit-up side as it orbits the Earth – those are called moon phases.
236,Why is breakfast an important meal?,"It gives your body and brain energy after a long night's sleep, and helps you focus."
237,What does gay/lesbian/transgender mean?,"It means different things! Sometimes people like boys, sometimes girls, sometimes both.  Sometimes they feel differently on the inside than how they look on the outside. Everyone deserves love and respect, no matter who they are."
238,What kind of engineer might design a roller coaster?,"Probably a combination! Mechanical engineers for the moving parts, and civil engineers for the structure."
239,Why does soap help get rid of germs?,"Soap makes things slippery, so the germs get washed away with the water!"
240,"I can be sweet or salty, and I'm a favorite at the movies. What am I?",Popcorn!
241,How do cars move? What kind of fuel do they use?,Cars usually use gasoline or electricity to make the engine run.
242,What is a shooting star?,Shooting stars are actually meteors!  They're bits of space rock that burn up brightly when they enter Earth's atmosphere.
243,Let's pretend you have 3 toy cars and your friend gives you 4 more. How many cars do you have in total?,You would have 7 cars! 3 plus 4 equals 7.
244,What does a white sign with a black silhouette of a person walking mean?,Pedestrian crossing ahead. Watch carefully for people crossing the street!
